"date","cons","invest","GDP","Empl","dPGDP","RW","R"
"1999Q2",1353.29175314611,1245.78211432596,1401.87109728114,1166.12518024697,0.211481905605004,163.271245557714,0.65999999999989
"1999Q3",1354.2991947785,1247.39269950167,1402.9815782404,1166.67263927168,0.156976638990169,163.490892139027,0.67500000000007
"1999Q4",1355.11319999346,1248.05081814136,1403.9926576144,1167.14692567889,0.261147244695925,163.874028850544,0.857499999999964
"2000Q1",1355.83147181177,1249.65069757373,1404.95443695782,1167.64009910125,0.424890552573665,164.170356139296,0.887500000000017
"2000Q2",1356.57456511047,1250.60560587824,1405.80621400633,1168.20442441156,0.255599127674078,164.562073639184,1.0675000000001
"2000Q3",1356.83408193011,1251.31591376158,1406.2902324251,1168.64324586132,0.482139291551231,164.680241244814,1.18500000000011
"2000Q4",1357.00839660011,1251.46886757494,1406.85836172381,1169.17079712096,0.333864285774399,164.733485250236,1.25750000000013
"2001Q1",1357.90972573002,1251.23803248936,1407.32608961956,1169.62036183087,1.11273255399142,164.463468220182,1.02527777777778
"2001Q2",1358.35855692331,1250.40540561117,1407.29507525571,1169.69328566093,0.549891493019494,164.854329083444,1.14833333333333
"2001Q3",1358.61807374294,1249.80454998057,1407.58185495175,1169.83610294785,0.286076580738448,164.973067222723,1.06666666666667
"2001Q4",1358.59573151574,1248.93708677651,1407.35711587491,1170.06677125811,0.824254629302157,164.733485250236,0.860833333333333
"2002Q1",1358.40847988113,1248.70625169093,1407.62564051754,1170.31792320451,0.817656486226825,164.658400055787,0.840833333333333
"2002Q2",1358.75775905026,1247.15308644062,1407.89328242346,1170.19203981204,0.353696582789231,165.049641645532,0.860833333333333
"2002Q3",1359.2162809107,1247.17015244661,1408.4778290889,1170.13565384583,0.384107936144851,165.265607655634,0.839166666666667
"2002Q4",1359.59076460105,1247.12068971374,1408.64873840157,1170.26657152437,0.430409884656435,165.41741561526,0.776666666666667
